,registered_voters
ALAJUELA|ATENAS|ATENAS,6561
ALAJUELA|ATENAS|CONCEPCION,3085
ALAJUELA|ATENAS|ESCOBAL,718
ALAJUELA|ATENAS|JESUS,3533
ALAJUELA|ATENAS|MERCEDES,2663
ALAJUELA|ATENAS|SAN ISIDRO,2449
ALAJUELA|ATENAS|SAN JOSE,1450
ALAJUELA|ATENAS|SANTA EULALIA,1955
ALAJUELA|CENTRAL|ALAJUELA,38289
ALAJUELA|CENTRAL|CARRIZAL,5841
ALAJUELA|CENTRAL|DESAMPARADOS,22173
ALAJUELA|CENTRAL|GARITA,5643
ALAJUELA|CENTRAL|GUACIMA,19484
ALAJUELA|CENTRAL|RIO SEGUNDO,9083
ALAJUELA|CENTRAL|SABANILLA,6791
ALAJUELA|CENTRAL|SAN ANTONIO,23681
ALAJUELA|CENTRAL|SAN ISIDRO,13721
ALAJUELA|CENTRAL|SAN JOSE,34902
ALAJUELA|CENTRAL|SAN RAFAEL,21542
ALAJUELA|CENTRAL|SARAPIQUI,2061
ALAJUELA|CENTRAL|TAMBOR,11785
ALAJUELA|CENTRAL|TURRUCARES,6071
ALAJUELA|GRECIA|BOLIVAR,6311
ALAJUELA|GRECIA|GRECIA,15583
ALAJUELA|GRECIA|PUENTE DE PIEDRA,9403
ALAJUELA|GRECIA|SAN ISIDRO,4894
ALAJUELA|GRECIA|SAN JOSE,7794
ALAJUELA|GRECIA|SAN ROQUE,9676
ALAJUELA|GRECIA|TACARES,6463
ALAJUELA|GUATUSO|BUENAVISTA,1178
ALAJUELA|GUATUSO|COTE,567
ALAJUELA|GUATUSO|KATIRA,4459
ALAJUELA|GUATUSO|SAN RAFAEL,6497
ALAJUELA|LOS CHILES|CAÑO NEGRO,1200
ALAJUELA|LOS CHILES|EL AMPARO,3617
ALAJUELA|LOS CHILES|LOS CHILES,8756
ALAJUELA|LOS CHILES|SAN JORGE,1667
ALAJUELA|NARANJO|CIRRI SUR,3745
ALAJUELA|NARANJO|EL ROSARIO,3139
ALAJUELA|NARANJO|NARANJO,12870
ALAJUELA|NARANJO|PALMITOS,3190
ALAJUELA|NARANJO|SAN JERONIMO,2704
ALAJUELA|NARANJO|SAN JOSE,2434
ALAJUELA|NARANJO|SAN JUAN,2675
ALAJUELA|NARANJO|SAN MIGUEL,2953
ALAJUELA|OROTINA|COYOLAR,4852
ALAJUELA|OROTINA|EL MASTATE,1810
ALAJUELA|OROTINA|HACIENDA VIEJA,1058
ALAJUELA|OROTINA|LA CEIBA,1417
ALAJUELA|OROTINA|OROTINA,7206
ALAJUELA|PALMARES|BUENOS AIRES,5774
ALAJUELA|PALMARES|CANDELARIA,1663
ALAJUELA|PALMARES|ESQUIPULAS,5242
ALAJUELA|PALMARES|LA GRANJA,2683
ALAJUELA|PALMARES|PALMARES,4661
ALAJUELA|PALMARES|SANTIAGO,1882
ALAJUELA|PALMARES|ZARAGOZA,8436
ALAJUELA|POAS|CARRILLOS,7274
ALAJUELA|POAS|SABANA REDONDA,2285
ALAJUELA|POAS|SAN JUAN,2872
ALAJUELA|POAS|SAN PEDRO,7743
ALAJUELA|POAS|SAN RAFAEL,4266
ALAJUELA|RIO CUARTO|RIO CUARTO,2657
ALAJUELA|RIO CUARTO|SANTA ISABEL,1878
ALAJUELA|RIO CUARTO|SANTA RITA,2970
ALAJUELA|SAN CARLOS|AGUAS ZARCAS,15721
ALAJUELA|SAN CARLOS|BUENAVISTA,337
ALAJUELA|SAN CARLOS|CUTRIS,5930
ALAJUELA|SAN CARLOS|FLORENCIA,12787
ALAJUELA|SAN CARLOS|LA FORTUNA,12250
ALAJUELA|SAN CARLOS|LA PALMERA,5070
ALAJUELA|SAN CARLOS|LA TIGRA,5216
ALAJUELA|SAN CARLOS|MONTERREY,2504
ALAJUELA|SAN CARLOS|PITAL,11260
ALAJUELA|SAN CARLOS|POCOSOL,9569
ALAJUELA|SAN CARLOS|QUESADA,35254
ALAJUELA|SAN CARLOS|VENADO,1167
ALAJUELA|SAN CARLOS|VENECIA,6877
ALAJUELA|SAN MATEO|DESMONTE,497
ALAJUELA|SAN MATEO|JESUS MARIA,1004
ALAJUELA|SAN MATEO|LABRADOR,1192
ALAJUELA|SAN MATEO|SAN MATEO,2659
ALAJUELA|SAN RAMON|ALFARO,4965
ALAJUELA|SAN RAMON|ANGELES,4388
ALAJUELA|SAN RAMON|CONCEPCION,2252
ALAJUELA|SAN RAMON|PEÑAS BLANCAS,6733
ALAJUELA|SAN RAMON|PIEDADES NORTE,6968
ALAJUELA|SAN RAMON|PIEDADES SUR,3606
ALAJUELA|SAN RAMON|SAN ISIDRO,3719
ALAJUELA|SAN RAMON|SAN JUAN,9060
ALAJUELA|SAN RAMON|SAN LORENZO,3412
ALAJUELA|SAN RAMON|SAN RAFAEL,7745
ALAJUELA|SAN RAMON|SAN RAMON,11335
ALAJUELA|SAN RAMON|SANTIAGO,3919
ALAJUELA|SAN RAMON|VOLIO,2287
ALAJUELA|SAN RAMON|ZAPOTAL,303
ALAJUELA|SARCHI|RODRIGUEZ,1696
ALAJUELA|SARCHI|SAN PEDRO,2624
ALAJUELA|SARCHI|SARCHI NORTE,6897
ALAJUELA|SARCHI|SARCHI SUR,4642
ALAJUELA|SARCHI|TORO AMARILLO,197
ALAJUELA|UPALA|AGUAS CLARAS,4002
