,population
SAN JOSE|PURISCAL|GRIFO ALTO,957
SAN JOSE|CENTRAL|BARRIO MEXICO,8481
SAN JOSE|DESAMPARADOS|LA CAPRI,5268
CONSULADO|MEXICO|CIUDAD DE MEXICO,1742
SAN JOSE|DESAMPARADOS|SAN ANTONIO,9405
SAN JOSE|CENTRAL|PASO ANCHO SUR,9574
SAN JOSE|PURISCAL|SAN JUAN,1248
HEREDIA|CENTRAL|GUARARI,12746
ALAJUELA|GRECIA|CARBONAL (CRISTO REY),1042
SAN JOSE|CENTRAL|BARRIO LUJAN,5063
PUNTARENAS|PARRITA|PUEBLO NUEVO,1489
SAN JOSE|CENTRAL|SAN FRANCISCO DE DOS RIOS,10787
CONSULADO|CANADA|OTTAWA,2132
SAN JOSE|MONTES DE OCA|SAN RAFAEL,7744
SAN JOSE|PURISCAL|SANTIAGO,8161
ALAJUELA|OROTINA|OROTINA,7327
LIMON|GUACIMO|GUACIMO,11142
HEREDIA|CENTRAL|HEREDIA,16644
CARTAGO|LA UNION|VILLAS DE AYARCO,4525
SAN JOSE|PURISCAL|HLE. CORAZON DE JESUS,40
SAN JOSE|PEREZ ZELEDON|SAN ISIDRO DE EL GENERAL,6285
LIMON|SIQUIRRES|EL CAIRO,4424
SAN JOSE|PURISCAL|PEDERNAL O SAN PEDRO,770
SAN JOSE|PEREZ ZELEDON|MORAZAN,1730
SAN JOSE|CENTRAL|PASO ANCHO NORTE,6691
SAN JOSE|MONTES DE OCA|SAN PEDRO,9505
SAN JOSE|TIBAS|SAN JUAN,14507
SAN JOSE|CENTRAL|ZAPOTE,12918
SAN JOSE|TARRAZU|SAN LORENZO,2377
SAN JOSE|TIBAS|ANSELMO LLORENTE,8597
GUANACASTE|NANDAYURE|HLE. SAGRADO CORAZON DE JESUS,29
SAN JOSE|SANTA ANA|LAGOS DE LINDORA,2335
CONSULADO|ESTADOS UNIDOS|LOS ANGELES,6138
SAN JOSE|MONTES DE OCA|LOURDES,11399
LIMON|POCOCI|JIMENEZ,4441
SAN JOSE|GOICOECHEA|GUADALUPE,19666
SAN JOSE|MONTES DE OCA|SABANILLA,8369
SAN JOSE|ESCAZU|ESCAZU,12559
PUNTARENAS|GARABITO|TARCOLES,1338
SAN JOSE|CENTRAL|GONZALEZ VIQUEZ,6566
SAN JOSE|CURRIDABAT|JOSE MARIA ZELEDON,4988
SAN JOSE|ESCAZU|SAN ANTONIO,14064
SAN JOSE|ACOSTA|CEIBA ESTE,450
SAN JOSE|TARRAZU|SAN MARCOS,5275
SAN JOSE|CENTRAL|PAVAS,14220
