,population
SAN JOSE|MORAVIA|LA TRINIDAD (GUAYABAL),11779
ALAJUELA|CENTRAL|CEBADILLA,1052
ALAJUELA|UPALA|BIJAGUA,2711
HEREDIA|CENTRAL|MERCEDES SUR,11239
CONSULADO|ESTADOS UNIDOS|NUEVA YORK,19100
SAN JOSE|DESAMPARADOS|SAN JERONIMO,6589
CARTAGO|LA UNION|CONCEPCION,11179
SAN JOSE|PEREZ ZELEDON|MERCEDES,1790
PUNTARENAS|BUENOS AIRES|HLE. BUENOS AIRES,76
SAN JOSE|TURRUBARES|SAN PABLO,1520
CARTAGO|CENTRAL|SAN FRANCISCO,9362
SAN JOSE|MORA|COLON,9271
PUNTARENAS|PARRITA|PROYECTO LA LOMA ARRIBA,1517
SAN JOSE|PEREZ ZELEDON|LOS ANGELES DE LIGIA,4958
SAN JOSE|CENTRAL|HATILLO,16179
SAN JOSE|LEON CORTES CASTRO|LLANO BONITO (SAN RAFAEL ARRIBA),729
SAN JOSE|MORAVIA|SAN VICENTE,22067
HEREDIA|BELEN|LA RIBERA,7298
SAN JOSE|SANTA ANA|SAN RAFAEL,2029
SAN JOSE|CENTRAL|ARANJUEZ,3720
SAN JOSE|CENTRAL|PITAHAYA,1659
CARTAGO|CENTRAL|LA LIMA,3586
SAN JOSE|GOICOECHEA|HLE. CARLOS MARIA ULLOA,241
ALAJUELA|CENTRAL|SAN RAFAEL ESTE,8455
ALAJUELA|CENTRAL|CONCEPCION O EL LLANO,10878
SAN JOSE|DESAMPARADOS|SAN RAFAEL ARRIBA,12137
PUNTARENAS|CORREDORES|COLONIA LIBERTAD (KM 31),408
ALAJUELA|SAN MATEO|LABRADOR,1192
SAN JOSE|ASERRI|POAS,6231
SAN JOSE|ACOSTA|LA CRUZ,415
SAN JOSE|CURRIDABAT|CURRIDABAT,11624
SAN JOSE|PEREZ ZELEDON|SINAI,3693
HEREDIA|SANTO DOMINGO|LOS ANGELES,3390
SAN JOSE|PEREZ ZELEDON|VILLA LIGIA,4264
SAN JOSE|ASERRI|ASERRI,19349
SAN JOSE|ACOSTA|PALMICHAL,2434
SAN JOSE|TIBAS|CINCO ESQUINAS,7824
SAN JOSE|CENTRAL|VILLA ESPERANZA,10229
SAN JOSE|PEREZ ZELEDON|CARMEN O CAJON,2316
CARTAGO|TURRIALBA|TURRIALBA,5398
SAN JOSE|PURISCAL|POZOS,937
SAN JOSE|CENTRAL|CORDOBA,5394
SAN JOSE|PURISCAL|FLORALIA,370
CARTAGO|LA UNION|LINDA VISTA,3090
HEREDIA|SANTO DOMINGO|SAN VICENTE,5337
SAN JOSE|DESAMPARADOS|DESAMPARADOS,9094
HEREDIA|CENTRAL|MERCEDES NORTE,13059
SAN JOSE|ACOSTA|SAN IGNACIO,4220
SAN JOSE|DESAMPARADOS|CALLE FALLAS,14396
SAN JOSE|ESCAZU|CARMEN (CHIVERRAL),3102
SAN JOSE|PEREZ ZELEDON|SANTA TERESA,838
SAN JOSE|SANTA ANA|SANTA ANA,7991
CONSULADO|HONDURAS|TEGUCIGALPA,392
SAN JOSE|VAZQUEZ DE CORONADO|CASCAJAL,971
SAN JOSE|PEREZ ZELEDON|HLE. MONS.DELFIN QUESADA CASTRO,69
SAN JOSE|PEREZ ZELEDON|SAN CRISTOBAL O TINAMASTE,684
CARTAGO|CENTRAL|HLE. MANOS DE JESUS,68
CONSULADO|ESPAÑA|MADRID,2688
CONSULADO|REINO UNIDO|LONDRES,949
SAN JOSE|CENTRAL|SAGRADA FAMILIA,5262
ALAJUELA|CENTRAL|ALAJUELA,4784
SAN JOSE|CENTRAL|CRISTO REY,4451
CARTAGO|JIMENEZ|JUAN VIÑAS,2801
SAN JOSE|DESAMPARADOS|PATARRA,3680
PUNTARENAS|BUENOS AIRES|VOLCAN,1407
ALAJUELA|SAN CARLOS|EL CONCHO,373
SAN JOSE|TIBAS|COLIMA,4424
LIMON|CENTRAL|LIMON,6072
HEREDIA|SANTO DOMINGO|SANTO DOMINGO,7342
SAN JOSE|CENTRAL|CARMEN,1274
SAN JOSE|PEREZ ZELEDON|SANTIAGO,732
SAN JOSE|ESCAZU|SAN RAFAEL,10846
SAN JOSE|DESAMPARADOS|EL LLANO,3742
SAN JOSE|PEREZ ZELEDON|SAGRADA FAMILIA,2987
CARTAGO|LA UNION|SANTIAGO DEL MONTE,6729
ALAJUELA|ATENAS|ATENAS,5012
SAN JOSE|PEREZ ZELEDON|EL HOYON,1709
SAN JOSE|ALAJUELITA|SAN FELIPE,5861
LIMON|POCOCI|CAMPO CINCO (SEMILLERO),3929
SAN JOSE|GOICOECHEA|FACIO Y LA MORA,11881
SAN JOSE|DESAMPARADOS|SAN MIGUEL,9130
LIMON|CENTRAL|SAN ANDRES,1845
SAN JOSE|SANTA ANA|BRASIL,2124
CARTAGO|OREAMUNO|SAN RAFAEL,12905
PUNTARENAS|CORREDORES|HLE. NEILY,44
ALAJUELA|SAN CARLOS|AGUAS ZARCAS,9436
SAN JOSE|TIBAS|LEON XIII,8486
LIMON|TALAMANCA|HONE CREEK,3190
ALAJUELA|GRECIA|TACARES,2851
PUNTARENAS|QUEPOS|SABALO,353
SAN JOSE|MORA|MORADO,762
SAN JOSE|CENTRAL|SANTA MARTA,7164
CONSULADO|ESTADOS UNIDOS|HOUSTON,3743
PUNTARENAS|CORREDORES|LAUREL,2753
PUNTARENAS|COTO BRUS|SABALITO,4139
SAN JOSE|CENTRAL|URUCA,2894
PUNTARENAS|OSA|SINAI,98
SAN JOSE|ASERRI|VUELTA DE JORCO,3687
CARTAGO|LA UNION|RIO AZUL,3184
SAN JOSE|PURISCAL|BARBACOAS (SAN ISIDRO),1460
LIMON|POCOCI|PROGRESO,3888
PUNTARENAS|QUEPOS|VILLANUEVA,727
SAN JOSE|TIBAS|FLORIDA (INVU),6655
SAN JOSE|CENTRAL|MATA REDONDA,3734
SAN JOSE|CENTRAL|COLONIA 15 DE SETIEMBRE,6757
SAN JOSE|CENTRAL|CORAZON DE JESUS,932
SAN JOSE|SANTA ANA|RIO ORO,6231
LIMON|MATINA|VENECIA,746
GUANACASTE|TILARAN|TRONADORA,1322
SAN JOSE|VAZQUEZ DE CORONADO|SAN ANTONIO,17853
PUNTARENAS|OSA|GUARIA,320
SAN JOSE|DOTA|COPEY,620
CONSULADO|COLOMBIA|BOGOTA,1078
SAN JOSE|GOICOECHEA|CALLE BLANCOS Y SAN GABRIEL,11349
ALAJUELA|SAN CARLOS|LA FORTUNA,6158
HEREDIA|SANTA BARBARA|BIRRI,3910
SAN JOSE|CENTRAL|SAN SEBASTIAN,10429
PUNTARENAS|PARRITA|LOS ANGELES,1152
CARTAGO|LA UNION|SAN RAFAEL,5879
CARTAGO|LA UNION|SAN RAMON,3659
HEREDIA|FLORES|SAN LORENZO,3659
SAN JOSE|PEREZ ZELEDON|BAIDAMBU,2402
ALAJUELA|CENTRAL|RIO SEGUNDO (SANTIAGO ESTE),4575
SAN JOSE|ALAJUELITA|SAN JOSECITO,8433
CARTAGO|TURRIALBA|RECREO,960
SAN JOSE|VAZQUEZ DE CORONADO|SAN ISIDRO,12560
ALAJUELA|SAN CARLOS|COOPEVEGA,723
SAN JOSE|MORA|RODEO,415
SAN JOSE|CENTRAL|COLONIA KENNEDY,3873
ALAJUELA|CENTRAL|MONTECILLOS (PARTE NORTE),4768
PUNTARENAS|OSA|PALMAR NORTE,3314
SAN JOSE|PEREZ ZELEDON|LOS CHILES,3396
PUNTARENAS|CENTRAL|MONTAÑA GRANDE,371
SAN JOSE|CENTRAL|PERPETUO SOCORRO,4278
SAN JOSE|PURISCAL|MERCEDES NORTE,1651
SAN JOSE|ASERRI|HLE. SAN FRANCISCO DE ASIS,32
SAN JOSE|CURRIDABAT|TIRRASES,4517
SAN JOSE|PURISCAL|LA GLORIA,666
SAN JOSE|ACOSTA|GUAITIL,649
SAN JOSE|PEREZ ZELEDON|PEJIBAYE,1434
SAN JOSE|MORA|QUITIRRISI,1105
SAN JOSE|SANTA ANA|PIEDADES,6326
SAN JOSE|PEREZ ZELEDON|LA HERMOSA,622
SAN JOSE|CURRIDABAT|HLE. CURRIDABAT,19
CARTAGO|CENTRAL|OCCIDENTAL,9126
SAN JOSE|ESCAZU|GUACHIPELIN (SAN GABRIEL),7698
SAN JOSE|DESAMPARADOS|GUATUSO,4226
SAN JOSE|PEREZ ZELEDON|COOPERATIVA,3063
SAN JOSE|PEREZ ZELEDON|CANDELARIA O ANGOSTURA,789
SAN JOSE|PEREZ ZELEDON|SAN RAMON NORTE,547
SAN JOSE|DOTA|SANTA MARIA,4230
LIMON|TALAMANCA|SIXAOLA,2140
CARTAGO|LA UNION|SALITRILLO,824
SAN JOSE|CURRIDABAT|GRANADILLA,11588
SAN JOSE|SANTA ANA|POZOS,9889
ALAJUELA|CENTRAL|EL CARMEN,6216
PUNTARENAS|BUENOS AIRES|CONVENTO,668
SAN JOSE|PURISCAL|GRIFO BAJO,145
SAN JOSE|PEREZ ZELEDON|PEDREGOSO,1962
PUNTARENAS|QUEPOS|HLE. QUEPOS,38
SAN JOSE|MORA|GUAYABO,2093
LIMON|POCOCI|HLE. GUAPILES,22
HEREDIA|BARVA|BARVA,6021
SAN JOSE|CENTRAL|RINCON GRANDE,22387
CARTAGO|LA UNION|TRES RIOS,11420
SAN JOSE|PEREZ ZELEDON|PAVONES,1650
SAN JOSE|DESAMPARADOS|SAN RAFAEL ABAJO,10747
SAN JOSE|PURISCAL|CORTEZAL,439
PUNTARENAS|QUEPOS|QUEPOS,4458
LIMON|POCOCI|CAMPO DOS,1107
SAN JOSE|GOICOECHEA|LOS ANGELES,6448
ALAJUELA|CENTRAL|VILLA HELIA (FINCA HELIA),992
SAN JOSE|CURRIDABAT|LA LIA O INMACULADA,3874
PUNTARENAS|PARRITA|SAN ISIDRO DE PLAYON,194
SAN JOSE|ACOSTA|ZONCUANO,96
LIMON|MATINA|LINEA B,1116
HEREDIA|CENTRAL|BARREAL (SAN JOSE),8672
ALAJUELA|SAN CARLOS|SANTO DOMINGO,1834
CARTAGO|EL GUARCO|TOBOSI,4572
SAN JOSE|SANTA ANA|HONDURAS,1675
HEREDIA|SANTO DOMINGO|SANTA ROSA,5860
SAN JOSE|ACOSTA|AGUA BLANCA (PARTE NORTE),620
PUNTARENAS|PARRITA|SAN RAFAEL NORTE (RIO SECO),533
SAN JOSE|CENTRAL|OMAR DENGO,8894
SAN JOSE|VAZQUEZ DE CORONADO|CORAZON DE JESUS,4207
SAN JOSE|ESCAZU|BELO HORIZONTE NORTE,4771
PUNTARENAS|COTO BRUS|SAN VITO,3206
ALAJUELA|CENTRAL|TUETAL SUR,1736
SAN JOSE|ACOSTA|BIJAGUAL,248
HEREDIA|SANTA BARBARA|SAN JUAN ABAJO,6092
SAN JOSE|DESAMPARADOS|HIGUITO,9922
PUNTARENAS|PARRITA|HLE. PARRITA,29
LIMON|POCOCI|GUAPILES,14489
ALAJUELA|SAN CARLOS|SAN FRANCISCO O LA AQUILEA,895
LIMON|POCOCI|LA TERESA,1529
SAN JOSE|PEREZ ZELEDON|PALMARES,3844
LIMON|POCOCI|CARIARI (CAMPO KENNEDY),8818
SAN JOSE|GOICOECHEA|HLE. CORTEZA AMARILLA-EMMANUEL,26
PUNTARENAS|COTO BRUS|LAS MELLIZAS,613
SAN JOSE|CENTRAL|LA CAJA,3152
SAN JOSE|TARRAZU|HLE. LOS SANTOS,62
LIMON|POCOCI|ASTUA PIRIE,4368
SAN JOSE|SANTA ANA|SALITRAL,3115
SAN JOSE|ALAJUELITA|SAN ANTONIO O EL LLANO,1856
PUNTARENAS|CORREDORES|BARRIO SAN JORGE,3043
SAN JOSE|GOICOECHEA|VISTA DE MAR,2565
ALAJUELA|SAN CARLOS|QUESADA,7060
SAN JOSE|MONTES DE OCA|HLE. MONTES DE OCA,44
LIMON|CENTRAL|CONCEPCION,785
SAN JOSE|PURISCAL|BOCANA,103
ALAJUELA|SARCHI|BAJOS DEL TORO,197
ALAJUELA|CENTRAL|RINCON CHIQUITO,3428
CARTAGO|CENTRAL|GUADALUPE O ARENILLA,12555
SAN JOSE|PEREZ ZELEDON|LA PIEDRA DE RIVAS,299
SAN JOSE|PEREZ ZELEDON|FATIMA,877
CARTAGO|TURRIALBA|SAUCE,667
CARTAGO|CENTRAL|HLE. ASILO DE LA VEJEZ,59
SAN JOSE|DESAMPARADOS|LOS GUIDO,15150
SAN JOSE|DESAMPARADOS|FRAILES,2013
SAN JOSE|CENTRAL|HATILLO 8,15531
SAN JOSE|MORAVIA|PLATANARES,2546
SAN JOSE|PEREZ ZELEDON|SANTA ROSA,1005
ALAJUELA|SAN CARLOS|SAN PEDRO DE LA TIGRA,1522
SAN JOSE|ALAJUELITA|AURORA,10319
PUNTARENAS|OSA|CORONADO,956
CONSULADO|ESTADOS UNIDOS|MIAMI,7547
SAN JOSE|VAZQUEZ DE CORONADO|JESUS O DULCE NOMBRE,10769
LIMON|POCOCI|CEDRAL,341
SAN JOSE|GOICOECHEA|IPIS ABAJO,5918
HEREDIA|CENTRAL|BERNARDO BENAVIDES (INVU),4604
SAN JOSE|CURRIDABAT|SANCHEZ,6266
SAN JOSE|MONTES DE OCA|CEDROS,3836
PUNTARENAS|CENTRAL|COROZAL,751
SAN JOSE|DESAMPARADOS|GRAVILIAS,7229
SAN JOSE|PEREZ ZELEDON|GENERAL VIEJO,1454
ALAJUELA|CENTRAL|RINCON DE HERRERA,2852
SAN JOSE|ACOSTA|COYOLAR,78
ALAJUELA|OROTINA|CUATRO ESQUINAS NORTE,1364
CONSULADO|NICARAGUA|MANAGUA,2094
SAN JOSE|PURISCAL|PIEDADES,968
HEREDIA|FLORES|SAN JOAQUIN,9437
SAN JOSE|PEREZ ZELEDON|VILLANUEVA DE PEDREGOSO,947
SAN JOSE|MORA|CORROGRES (LA FILA EL CARMEN),1610
SAN JOSE|ASERRI|SALITRILLOS,4738
SAN JOSE|PEREZ ZELEDON|SAN RAFAEL DE SAN PEDRO,605
SAN JOSE|DESAMPARADOS|EL PORVENIR,5672
ALAJUELA|GRECIA|RINCON DE ARIAS,2760
PUNTARENAS|CORREDORES|NEILY,6562
SAN JOSE|ALAJUELITA|CONCEPCION ABAJO,8444
ALAJUELA|CENTRAL|EL ARROYO,1993
SAN JOSE|VAZQUEZ DE CORONADO|SAN RAFAEL,5379
HEREDIA|SAN ISIDRO|SAN ISIDRO,8664
SAN JOSE|PEREZ ZELEDON|LA LINDA,539
SAN JOSE|TURRUBARES|POTENCIANA ARRIBA,84
SAN JOSE|DESAMPARADOS|SAN JUAN DE DIOS,13905
SAN JOSE|PEREZ ZELEDON|ROSARIO DEL PACUAR,604
SAN JOSE|DESAMPARADOS|JERICO,1077
SAN JOSE|PURISCAL|JILGUERAL,165
SAN JOSE|TARRAZU|RODEO NORTE,1344
SAN JOSE|PEREZ ZELEDON|SAN RAMON SUR,1708
ALAJUELA|CENTRAL|INVU LOS RODRIGUEZ,7834
CONSULADO|ITALIA|ROMA,680
SAN JOSE|ACOSTA|HLE. ACOSTA,44
SAN JOSE|PEREZ ZELEDON|LA PALMA,1313
HEREDIA|BARVA|SAN PABLO,4701
SAN JOSE|TARRAZU|GUADALUPE,1269
SAN JOSE|TURRUBARES|SAN RAFAEL,78
SAN JOSE|ALAJUELITA|ALAJUELITA,10479
SAN JOSE|MORA|BAJO DE LOAIZA (SAN LORENZO),256
SAN JOSE|CENTRAL|HOSPITAL,1613
SAN JOSE|PURISCAL|JUNQUILLO ABAJO,1026
SAN JOSE|CENTRAL|LA PEREGRINA,3339
ALAJUELA|CENTRAL|SAN RAFAEL OESTE,10923
ALAJUELA|CENTRAL|HLE. SANTIAGO CRESPO CALVO,208
ALAJUELA|PALMARES|ESQUIPULAS,5242
SAN JOSE|TURRUBARES|SAN JUAN DE MATA,422
SAN JOSE|PEREZ ZELEDON|MIRAFLORES,459
LIMON|MATINA|CORINA,552
ALAJUELA|SAN CARLOS|LA TIGRA,1836
PUNTARENAS|COTO BRUS|LA ADMINISTRACION (GUTIERREZ BRAUN,737
CARTAGO|CENTRAL|ORIENTAL,12966
LIMON|POCOCI|SANTA ROSA,482
SAN JOSE|PEREZ ZELEDON|COCORI,2836
SAN JOSE|LEON CORTES CASTRO|SAN PABLO,2981
LIMON|POCOCI|HLE. CARIARI,74
SAN JOSE|PEREZ ZELEDON|MESAS,1037
SAN JOSE|MORA|PIEDRAS BLANCAS,674
PUNTARENAS|CENTRAL|BARRANCA,10253
HEREDIA|SANTO DOMINGO|PARACITO,2304
SAN JOSE|PEREZ ZELEDON|PUEBLO NUEVO,1790
HEREDIA|SAN RAFAEL|SAN JOSECITO,8676
SAN JOSE|MORA|TABARCIA,1579
SAN JOSE|CENTRAL|HLE. SAN PEDRO CLAVER,48
GUANACASTE|TILARAN|TILARAN,7622
SAN JOSE|PEREZ ZELEDON|PILAR,1054
PUNTARENAS|OSA|RIYITO DE SIERPE,94
LIMON|SIQUIRRES|SAN MARTIN,9158
SAN JOSE|SANTA ANA|MATINILLA,477
GUANACASTE|NICOYA|QUIRIMAN,417
GUANACASTE|LIBERIA|HLE. LIBERIA,27
SAN JOSE|MORA|SAN ISIDRO DE CHUCAS (BALSILLA),71
SAN JOSE|ASERRI|SANTA TERESITA,2326
SAN JOSE|PURISCAL|CERBATANA,1500
SAN JOSE|LEON CORTES CASTRO|SAN RAFAEL ABAJO (BENEFICIO CAFE),314
SAN JOSE|ACOSTA|OCOCA,824
SAN JOSE|MORAVIA|SAN JERONIMO,2612
SAN JOSE|MONTES DE OCA|BETANIA,2880
SAN JOSE|PEREZ ZELEDON|SANTA ELENA,771
LIMON|POCOCI|SAN ANTONIO (EL HUMO),2890
SAN JOSE|PEREZ ZELEDON|ZAPOTE,322
LIMON|POCOCI|DIAMANTES,3497
SAN JOSE|PEREZ ZELEDON|SANTA EDUVIGIS,208
PUNTARENAS|BUENOS AIRES|BUENOS AIRES,7192
PUNTARENAS|BUENOS AIRES|POTRERO GRANDE,1279
ALAJUELA|CENTRAL|EL CERRO,912
PUNTARENAS|COTO BRUS|SABANILLA,607
SAN JOSE|ASERRI|MONTERREY,585
SAN JOSE|CURRIDABAT|CIUDADELA QUINCE DE AGOSTO,6808
SAN JOSE|PURISCAL|SAN ANTONIO ARRIBA,3311
ALAJUELA|SAN CARLOS|EL TANQUE,1618
LIMON|POCOCI|RITA,6043
PUNTARENAS|GOLFITO|VILLA BRICEÑO (KM 37),1272
PUNTARENAS|QUEPOS|SAN RAFAEL (CERROS),1040
ALAJUELA|SAN RAMON|PIEDADES NORTE,1394
CARTAGO|PARAISO|LLANOS DE SANTA LUCIA,13052
SAN JOSE|ASERRI|LA LEGUA,621
SAN JOSE|ACOSTA|SABANILLAS,737
HEREDIA|CENTRAL|LOS LAGOS,3834
ALAJUELA|CENTRAL|PACTO DEL JOCOTE,12304
HEREDIA|SARAPIQUI|LA RAMBLA,624
SAN JOSE|LEON CORTES CASTRO|SAN FRANCISCO,251
CARTAGO|LA UNION|EL CARMEN,3040
SAN JOSE|TURRUBARES|MONTELIMAR,329
ALAJUELA|CENTRAL|CANOAS,10925
CARTAGO|LA UNION|SAN FRANCISCO,2119
HEREDIA|SARAPIQUI|FINCA DOS,1298
SAN JOSE|DESAMPARADOS|TRINIDAD (PARTE ESTE),787
SAN JOSE|DESAMPARADOS|FATIMA DE DAMAS,2800
SAN JOSE|MORA|JARIS,983
ALAJUELA|SAN CARLOS|PITAL,6383
ALAJUELA|ATENAS|CONCEPCION,2402
SAN JOSE|ALAJUELITA|CONCEPCION ARRIBA,4709
SAN JOSE|LEON CORTES CASTRO|ANGOSTURA ABAJO,236
SAN JOSE|PURISCAL|ZAPATON (SAN CARLOS),351
SAN JOSE|PEREZ ZELEDON|CENIZA,915
SAN JOSE|PURISCAL|VISTA DE MAR NORTE,213
SAN JOSE|CENTRAL|SAN BOSCO,2638
GUANACASTE|NICOYA|SAN JOAQUIN,725
SAN JOSE|CENTRAL|MARIA REINA,6406
GUANACASTE|SANTA CRUZ|SAN JUANILLO,298
SAN JOSE|LEON CORTES CASTRO|SAN ANDRES,830
ALAJUELA|CENTRAL|VILLA BONITA (PARTE SUR),6010
SAN JOSE|ACOSTA|CANGREJAL,495
LIMON|POCOCI|TICABAN,1619
SAN JOSE|PEREZ ZELEDON|SAN ANDRES,3235
ALAJUELA|CENTRAL|NUESTRO AMO,2554
LIMON|SIQUIRRES|SIQUIRRES,8031
HEREDIA|SAN RAFAEL|SAN RAFAEL,10175
CARTAGO|CENTRAL|EL CARMEN,7842
SAN JOSE|DESAMPARADOS|LA JOYA,197
SAN JOSE|VAZQUEZ DE CORONADO|LAS NUBES,1078
ALAJUELA|CENTRAL|SIQUIARES,302
ALAJUELA|SAN CARLOS|CERRO CORTES,1237
LIMON|CENTRAL|SAN JUAN,3213
SAN JOSE|GOICOECHEA|SAN FRANCISCO,1975
CARTAGO|EL GUARCO|SAN ISIDRO,6058
SAN JOSE|PURISCAL|SAN RAFAEL ARRIBA,1081
SAN JOSE|ACOSTA|CHIRRACA (PARTE ESTE),1125
PUNTARENAS|CENTRAL|EL ROBLE (INVU),7327
HEREDIA|SAN ISIDRO|SAN FRANCISCO,2080
HEREDIA|SAN PABLO|SAN PABLO,18371
SAN JOSE|MORAVIA|LA ISLA,3848
LIMON|POCOCI|SECTOR 8 (SAN GERARDO),1820
PUNTARENAS|CENTRAL|LA TIGRA (BELLAVISTA),101
CARTAGO|TURRIALBA|LA SUIZA,3713
SAN JOSE|CENTRAL|LA CARPIO,7658
SAN JOSE|DOTA|LA CIMA,349
SAN JOSE|GOICOECHEA|CUADROS,7231
LIMON|GUACIMO|ARGENTINA,727
SAN JOSE|CENTRAL|CATEDRAL,1478
SAN JOSE|MORA|BRASIL,2643
SAN JOSE|ESCAZU|HLE. MAGDALA,67
CONSULADO|PANAMA|CIUDAD DE PANAMA,1457
HEREDIA|SANTO DOMINGO|CASTILLA (EL CARMEN),1659
SAN JOSE|CENTRAL|NACIONES UNIDAS,1816
SAN JOSE|PEREZ ZELEDON|CALLE MORAS,545
PUNTARENAS|CORREDORES|RIO NUEVO,2204
SAN JOSE|MORAVIA|LOS SITIOS,3744
PUNTARENAS|GOLFITO|LA MONA,2822
SAN JOSE|LEON CORTES CASTRO|SANTA JUANA,107
PUNTARENAS|ESPARZA|GUADALUPE O MARATON,149
ALAJUELA|ATENAS|HLE. HORTENSIA RODRIGUEZ S.DE B,62
SAN JOSE|GOICOECHEA|MATA DE PLATANO O CARMEN,14374
LIMON|POCOCI|BUENOS AIRES,864
PUNTARENAS|GOLFITO|VIQUILLAS,900
ALAJUELA|SAN RAMON|CHACHAGUA,2452
ALAJUELA|CENTRAL|EL COYOL,7532
HEREDIA|SANTA BARBARA|JESUS,3151
SAN JOSE|TARRAZU|SAN CARLOS,931
SAN JOSE|GOICOECHEA|PURRAL,10735
HEREDIA|CENTRAL|LA AURORA (PARTE SUR),9537
LIMON|POCOCI|LLANO BONITO,1794
SAN JOSE|ASERRI|EL TIGRE,202
CARTAGO|CENTRAL|LOMA LARGA,414
SAN JOSE|PEREZ ZELEDON|DANIEL FLORES,1390
GUANACASTE|CAÑAS|LAS PALMAS,3741
SAN JOSE|PEREZ ZELEDON|RIVAS,1430
PUNTARENAS|BUENOS AIRES|VUELTAS,351
HEREDIA|SANTO DOMINGO|SANTO TOMAS,4907
PUNTARENAS|COTO BRUS|SAN MIGUEL DE LA FRONTERA,1374
ALAJUELA|NARANJO|SAN JUAN (ACEQUIA GRANDE),1673
PUNTARENAS|CENTRAL|CHACARITA,7154
SAN JOSE|ACOSTA|TABLAZO,1191
PUNTARENAS|CENTRAL|PUNTARENAS,2241
SAN JOSE|TARRAZU|SAN JERONIMO,612
SAN JOSE|ASERRI|TARBACA O PRAGA,1537
SAN JOSE|PEREZ ZELEDON|QUEBRADAS,1211
SAN JOSE|CURRIDABAT|CIPRESES,4483
CARTAGO|CENTRAL|PITAHAYA,8275
PUNTARENAS|OSA|LA NAVIDAD,412
PUNTARENAS|COTO BRUS|LOURDES,1119
PUNTARENAS|PARRITA|PALO SECO,273
SAN JOSE|PURISCAL|SAN MIGUEL,150
PUNTARENAS|COTO BRUS|FILA MENDEZ,418
PUNTARENAS|PARRITA|SARDINAL SUR,181
SAN JOSE|LEON CORTES CASTRO|SAN ISIDRO,893
SAN JOSE|MORA|SAN BOSCO,1720
CARTAGO|EL GUARCO|BARRIO NUEVO,7232
ALAJUELA|CENTRAL|CACAO,4664
SAN JOSE|ASERRI|URUCA,571
PUNTARENAS|PARRITA|LOS SUEÑOS,1046
PUNTARENAS|CENTRAL|FRAY CASIANO DE MADRID,5932
ALAJUELA|CENTRAL|LOS ANGELES,1239
PUNTARENAS|COTO BRUS|FLOR DEL ROBLE,493
PUNTARENAS|CENTRAL|SAN MIGUEL DE RIO BLANCO,269
GUANACASTE|ABANGARES|POZO AZUL,446
ALAJUELA|NARANJO|CAÑUELA ARRIBA,342
SAN JOSE|DESAMPARADOS|SAN LORENZO,6774
ALAJUELA|SAN RAMON|VOLIO,1814
SAN JOSE|PEREZ ZELEDON|PACUARITO,332
